,Date,User,Nickname,Tweet,URL
0,2022-09-08 13:40:23+00:00,dmjgongye,다공적목계,신떤여자 화장한 남자를 남자로 느끼지못하는이유가 주변 남자들 열이면아홉은 게이라서 그런거같음ㅋ ㅋ ㅋ,https://twitter.com/dmjgongye/status/1567870465032749057
1,2022-04-27 05:23:44+00:00,sohveve,🎉지옥애서 온 민트하루👑,노CC에서 여심은 굉장히 예쁜애들이 많은데  남심은...........이래서 남자들이 화장하나,https://twitter.com/sohveve/status/1519185506621222912
2,2022-09-10 18:27:38+00:00,2_lifeKnife,🖤 야마스피너,@MMoong_CM 열바더 ㅇ아오 아...아니근데 무색무취 이거너무그...하.....ㅅㅂ고결하고무결한인간상을원했다 이남자야..........  코박고체향맡아보고시퍼 비누냄새날까싶긴해 퍼펙트자기관리의남자,https://twitter.com/2_lifeKnife/status/1568667531648585729
3,2022-05-18 15:33:17+00:00,dontkillmyocean,지구,"운동 꾸준히 하는 남자
: 부지런하며 자기관리를 놓지 않는것 같아서 호감 상승 그래놓고 우리한테는 먹으라함 레전드 내조",https://twitter.com/dontkillmyocean/status/1526949049173409793
4,2022-10-20 02:31:40+00:00,cch1994,캐논,@berlinmingming 화장안하면 남자아니냐??이게 여자얼굴이야??,https://twitter.com/cch1994/status/1582922470306172928
5,2022-06-18 05:31:26+00:00,Estel_Eldalieva,에스텔🌟,@:에타에서 화장하는 남자 어떻다저떻다 싸움 낫는데 일침 개웃김ㅠㅠ https://t.co/mbmsZNnFmG,https://twitter.com/Estel_Eldalieva/status/1538031611509231626
6,2022-11-28 11:29:21+00:00,Palmo_ubotL,파르모(Palmo),"머리가 길면 관리하는데 손이 갈 수밖에 없는데, 다른 전사분들은 남자신데도 그런 자기관리에 소홀하지 않으신가 봐요. 흐트러진 때를 별로 못 봤거든요. 특히 브레이즈님의 머리카락은 항상 윤기나는 예쁜 은발이셔서 감탄이 나와요. 조금 부럽기도 하구요.",https://twitter.com/Palmo_ubotL/status/1597190908440875008
7,2022-11-24 14:23:45+00:00,mutuldo4,출장안마 ㄹr인 skx55 출장업소 출장마사지 콜걸샵 애인대행 출장만남 오피 출장샵 아가씨,"993560
그 남자와 지금도 만나고 있는 것인지...배후단지 화장스타그램 샵 아니면 지금 쯤 헤어졌는지 물어보지도 않았다",https://twitter.com/mutuldo4/status/1595785245970038784
8,2022-09-15 01:19:54+00:00,doing1uv,busy 두잉,아니씨발 뭐야? 여자화장ㄹ에 남자들어온거같은데;;;,https://twitter.com/doing1uv/status/1570220831984459779
9,2022-08-02 14:53:52+00:00,goooobeb,방전…,대부분의 남자아이돌이 그렇겠지만 어차피 화장 지워도 잘생긴거 생얼이 더 좋음,https://twitter.com/goooobeb/status/1554480608981975041
